@@,itemlabel,item,startdate,enddate
+++,Michel Mayer,,1967-07-15,1972-10-09
+++,Pierre Dauffenbach,,1972-10-09,1976-02-04
+++,Jean Betz,,1976-02-04,1980-03-09
+++,François Welfring,,1980-03-09,1984-05-13
+++,Nicolas Ley,,1984-05-13,1988-02-21
+++,Armand Bruck,,1988-02-21,1994-11-04
+++,Michel Gretsch,,1994-11-04,1998-07-02
+++,Guy Lenz,Q13102910,1998-07-02,2002-01-28
+++,Nico Ries,Q7028831,2002-01-28,2008-01-15
->,Gaston Reinig,Q836772,2008-01-01->2008-01-15,2013-01-01->2013-02-01
->,Romain Mancinelli,Q20731381,2014-01-01->2014-12-02,2017-01-01->2017-09-28
->,Alain Duschène,Q41548295,2017-09-30->2017-09-29,2020-09-29
->,Steve Thull,Q99753762,2020-09-29->2020-09-30,NULL->-
